"ID","reg1","reg2","reg3","reg4","home","chld","hinc","genf","wrat","avhv","incm","inca","plow","npro","tgif","lgif","rgif","tdon","tlag","agif","donr","damt","part"
660,0,0,1,0,1,2,4,1,4,216,53,105,9,23,55,16,14,23,13,10.05,0,0,"valid"
661,0,0,1,0,1,3,7,0,8,262,104,104,0,32,53,37,37,15,9,18.86,0,0,"valid"
662,0,0,0,0,1,1,3,0,8,103,33,37,12,62,90,20,12,16,3,7.79,1,14,"train"
663,0,0,0,1,1,0,2,0,9,141,34,41,21,18,39,19,8,36,13,8.88,0,0,"train"
664,1,0,0,0,1,0,4,0,3,228,40,73,11,110,225,34,18,10,13,12.83,1,19,"valid"
665,0,1,0,0,1,2,2,0,8,268,41,80,5,70,116,15,18,19,5,9.08,0,0,"train"
666,1,0,0,0,1,0,4,0,2,132,18,43,26,30,70,23,12,19,12,13.75,1,14,"train"
667,0,0,0,0,1,0,4,0,9,108,54,54,16,114,337,46,30,13,15,17.36,1,17,"train"
668,0,1,0,0,0,2,4,0,9,165,25,59,16,25,59,11,9,22,3,8.27,0,0,"train"
669,0,1,0,0,1,2,2,1,6,105,17,39,60,117,406,406,55,17,6,20.63,0,0,"train"
670,1,0,0,0,1,0,4,0,8,231,72,72,3,39,80,14,6,20,6,13.22,1,15,"train"
671,0,0,1,0,1,3,4,1,3,202,38,46,5,105,132,32,12,8,12,13.58,NA,NA,"test"
672,0,0,0,1,1,0,4,1,5,239,43,56,8,64,104,11,6,17,5,7.74,1,15,"valid"
673,0,0,0,0,1,2,3,1,7,168,34,50,8,31,49,22,9,23,8,9.54,0,0,"train"
674,0,0,0,0,1,1,6,0,9,142,27,37,21,14,52,5,4,12,4,4.17,NA,NA,"test"
675,0,1,0,0,1,0,5,1,9,127,33,55,27,61,60,15,9,15,11,8.93,1,16,"train"
676,0,0,0,1,1,0,3,0,9,137,40,56,9,78,93,18,12,20,5,14.03,1,16,"valid"
677,0,1,0,0,1,0,7,1,6,231,52,52,5,65,126,9,6,23,5,5.99,1,15,"train"
678,0,0,0,0,1,2,4,0,8,137,21,40,12,89,109,80,39,27,10,29.15,0,0,"train"
679,1,0,0,0,0,2,3,0,8,143,47,47,3,52,127,113,35,14,4,39.75,0,0,"train"
680,0,1,0,0,1,2,4,1,8,118,21,43,35,75,72,16,10,18,5,9.91,1,13,"train"
681,0,1,0,0,1,2,3,0,9,157,45,45,6,37,124,124,47,17,4,19.32,1,17,"train"
682,0,0,0,0,1,0,2,0,7,135,27,34,21,139,462,14,11,20,6,5.71,NA,NA,"test"
683,0,0,0,0,1,3,4,1,9,163,26,46,16,96,126,39,24,16,10,14.87,NA,NA,"test"
684,0,0,0,0,1,2,7,0,8,80,21,26,58,12,35,11,10,23,3,16.01,0,0,"train"
685,0,0,1,0,0,1,1,1,8,138,34,59,20,18,62,12,5,22,5,11.16,0,0,"valid"
686,0,1,0,0,1,4,4,1,8,111,23,30,36,64,77,15,12,25,3,11.47,0,0,"valid"
687,1,0,0,0,1,2,7,1,3,153,44,55,10,112,183,8,8,21,11,6.68,0,0,"valid"
688,0,1,0,0,1,2,5,0,8,310,68,164,2,108,285,15,14,16,3,9.25,1,14,"valid"
689,0,0,0,1,1,0,4,1,4,223,36,53,24,100,153,11,12,17,14,8.21,0,0,"train"
690,0,0,0,0,1,0,5,0,8,163,40,41,16,26,67,10,6,11,3,11.95,NA,NA,"test"
691,1,0,0,0,1,2,7,1,8,106,10,22,72,58,107,36,34,17,7,29.2,0,0,"train"
692,0,1,0,0,1,0,6,0,8,146,35,42,8,32,62,12,7,17,5,8.04,0,0,"train"
693,0,0,0,0,1,2,6,1,9,201,41,56,13,14,41,22,15,19,7,10.95,NA,NA,"test"
694,0,1,0,0,1,4,4,1,9,179,49,49,9,93,115,4,4,22,7,4.11,NA,NA,"test"
695,0,1,0,0,1,4,4,0,9,79,24,24,40,83,165,74,26,24,10,18.18,0,0,"train"
696,0,0,0,1,1,4,3,0,8,141,36,44,11,21,48,11,20,19,12,6.44,0,0,"train"
697,0,0,0,1,1,1,7,0,3,137,24,38,25,16,38,15,15,18,11,8.41,0,0,"valid"
698,0,0,0,0,1,0,4,1,1,122,41,62,15,67,91,13,7,21,17,5.21,0,0,"train"
699,0,0,1,0,1,2,3,0,8,338,82,85,0,91,144,23,20,16,4,13.69,1,15,"train"
700,0,0,1,0,1,2,4,0,0,424,87,122,1,67,94,7,8,15,10,9.02,0,0,"valid"
701,0,1,0,0,0,0,5,0,8,347,46,104,2,76,129,15,8,23,5,12.4,1,14,"train"
702,0,1,0,0,1,4,5,1,9,122,23,41,41,81,112,39,30,24,11,11.53,0,0,"train"
703,0,1,0,0,1,4,6,1,9,191,38,67,3,93,115,9,12,8,12,6.65,0,0,"train"
704,1,0,0,0,1,2,6,1,8,185,26,65,15,23,63,19,17,24,5,11.46,NA,NA,"test"
705,0,1,0,0,1,2,4,1,6,162,38,43,11,45,68,14,9,22,8,8.66,1,13,"valid"
706,0,0,1,0,1,2,1,0,3,343,80,90,0,17,54,5,4,19,6,5.33,NA,NA,"test"
707,1,0,0,0,1,0,1,1,5,469,113,122,0,51,91,6,9,12,11,4.27,NA,NA,"test"
708,0,0,0,1,0,4,4,1,8,159,63,63,6,11,29,8,4,12,4,4.7,NA,NA,"test"
709,0,0,0,1,1,0,4,1,9,171,32,53,6,27,45,10,7,24,7,7.52,1,15,"valid"
710,0,1,0,0,1,0,1,0,7,176,47,50,4,53,114,9,5,22,7,11.75,1,13,"valid"
711,1,0,0,0,1,2,4,0,8,207,50,55,4,81,101,38,34,18,7,16.48,1,14,"train"
712,1,0,0,0,0,2,2,0,8,150,45,58,7,43,84,56,36,16,10,17.35,0,0,"train"
713,0,0,1,0,0,3,2,1,9,100,26,36,7,76,125,30,26,22,3,17.84,0,0,"train"
714,1,0,0,0,1,0,2,0,9,133,28,40,18,90,129,6,5,20,5,5.96,1,12,"train"
715,0,1,0,0,1,0,1,1,8,105,29,29,29,90,165,23,20,22,9,12.72,1,15,"valid"
716,0,0,0,0,1,1,4,1,5,71,13,19,49,104,103,21,25,20,12,13.21,0,0,"train"
717,1,0,0,0,1,3,5,1,5,340,123,123,1,77,164,14,16,14,3,7.59,1,13,"valid"
718,0,0,0,0,1,2,4,1,2,213,51,65,2,74,110,11,4,25,6,8.46,NA,NA,"test"
719,0,0,0,0,1,0,7,1,8,245,45,61,5,112,259,14,6,16,10,9.72,0,0,"train"
720,0,1,0,0,1,0,6,0,4,165,31,44,21,22,61,5,4,15,8,4.29,1,12,"valid"
721,0,0,0,0,1,1,4,0,3,101,24,24,31,11,33,13,4,8,11,8.27,0,0,"train"
722,1,0,0,0,1,2,2,0,2,124,21,40,27,68,80,11,5,12,8,12.32,0,0,"train"
723,0,0,1,0,1,2,3,1,8,129,25,40,32,82,101,31,17,21,9,12.79,NA,NA,"test"
724,1,0,0,0,1,3,2,1,1,169,26,41,19,34,57,40,32,24,5,17.53,0,0,"train"
725,0,0,0,1,1,0,4,1,4,174,81,81,1,85,135,39,22,18,5,14.85,1,18,"train"
726,0,0,0,0,1,0,4,1,3,193,34,71,3,92,189,16,13,14,7,10.27,1,14,"train"
727,0,0,1,0,1,0,4,0,8,138,23,36,41,40,77,37,19,31,26,24.13,1,18,"train"
728,0,0,0,1,1,3,7,0,8,129,29,42,9,35,67,43,39,15,28,16.5,NA,NA,"test"
729,0,1,0,0,1,3,2,1,9,163,23,45,27,57,103,12,11,21,4,11.21,0,0,"train"
730,0,0,0,0,0,0,5,1,8,109,18,28,36,58,100,11,8,15,9,12.86,0,0,"train"
731,0,0,1,0,1,2,4,0,8,271,49,75,7,40,76,61,55,22,3,20.23,1,18,"train"
732,1,0,0,0,1,1,4,0,5,120,23,32,15,16,45,9,5,24,8,5.13,NA,NA,"test"
733,0,0,0,1,1,4,4,1,1,118,23,30,22,74,109,12,6,12,15,12.68,0,0,"train"
734,0,1,0,0,1,2,4,1,9,143,20,41,25,67,133,15,17,24,3,8.5,NA,NA,"test"
735,0,1,0,0,1,3,2,1,1,260,54,62,6,81,130,26,12,19,8,11.22,0,0,"valid"
736,0,0,0,1,1,0,1,1,2,178,39,65,17,61,85,17,15,18,4,12.75,0,0,"train"
737,1,0,0,0,1,0,3,0,7,130,36,36,20,27,54,14,12,17,2,15.68,1,15,"train"
738,0,0,0,0,1,2,5,1,9,92,36,38,14,45,68,23,13,12,4,15.22,NA,NA,"test"
739,1,0,0,0,1,2,3,1,4,276,50,72,2,54,76,60,62,16,7,44.49,NA,NA,"test"
740,1,0,0,0,0,0,6,1,0,189,30,41,28,82,158,24,23,20,15,13.47,0,0,"valid"
741,0,1,0,0,1,3,4,0,8,147,22,47,39,113,281,9,9,14,10,7.52,1,13,"valid"
742,0,1,0,0,1,2,2,1,6,196,66,66,10,57,81,11,7,19,6,9.74,0,0,"train"
743,0,0,0,0,1,0,6,0,0,150,69,69,1,77,93,28,18,18,3,8.95,0,0,"valid"
744,1,0,0,0,1,0,2,0,9,88,23,31,22,60,105,14,13,20,6,7.19,1,13,"train"
745,0,0,0,0,1,0,3,1,6,119,20,39,33,78,229,5,3,23,8,4.3,1,13,"valid"
746,0,0,0,1,1,3,2,1,5,132,56,56,9,116,323,8,5,26,5,7.56,0,0,"train"
747,0,0,1,0,1,2,4,1,9,310,98,98,1,103,227,18,23,29,7,10.96,NA,NA,"test"
748,0,1,0,0,1,0,4,0,9,147,22,36,14,72,61,18,11,40,5,10.93,NA,NA,"test"
749,0,0,0,0,0,2,5,0,9,187,28,51,6,9,36,16,8,14,11,16.01,0,0,"train"
750,0,0,1,0,1,3,6,1,9,167,45,54,9,62,61,5,3,16,5,7.52,NA,NA,"test"
751,1,0,0,0,1,2,4,1,0,77,30,34,19,42,63,5,6,24,4,4.49,0,0,"valid"
752,0,1,0,0,1,2,4,0,5,213,22,78,16,24,47,27,23,22,16,13.03,0,0,"valid"
753,0,1,0,0,1,2,4,0,7,256,104,104,0,125,286,16,7,21,3,7.03,1,14,"valid"
754,0,0,1,0,0,0,4,1,8,251,64,116,1,112,194,20,24,12,4,20.28,0,0,"train"
755,0,0,1,0,1,4,2,1,3,130,14,43,25,33,62,24,16,16,4,13.15,NA,NA,"test"
756,1,0,0,0,1,0,4,1,8,285,112,112,1,104,191,15,21,16,9,11.77,1,15,"train"
757,0,0,0,0,1,2,2,1,3,236,51,54,8,71,97,21,22,21,24,16.12,NA,NA,"test"
758,0,1,0,0,1,3,7,1,0,169,55,60,2,39,92,7,7,31,5,7.32,0,0,"valid"
759,1,0,0,0,1,2,2,0,9,67,8,25,65,100,159,8,11,13,13,6.76,0,0,"valid"
760,1,0,0,0,1,3,4,0,8,201,53,53,3,15,38,17,18,18,9,6.99,0,0,"valid"
761,0,1,0,0,1,0,3,0,8,280,36,79,2,127,188,4,4,20,7,4.59,1,11,"valid"
762,0,0,0,0,1,1,4,0,7,109,16,28,36,62,69,51,21,10,9,16.98,0,0,"valid"
763,0,1,0,0,1,2,4,1,8,132,20,30,33,48,67,10,12,19,4,7.54,1,13,"train"
764,0,1,0,0,1,0,4,0,0,143,42,55,11,72,131,17,17,21,8,13.53,1,12,"train"
765,1,0,0,0,1,2,4,1,8,399,57,99,1,10,44,9,9,25,5,8.06,0,0,"train"
766,0,1,0,0,1,2,4,1,1,91,37,37,28,45,71,16,8,22,5,18.26,0,0,"valid"
767,0,0,0,0,1,3,4,1,8,216,53,58,2,115,218,41,25,14,10,24.09,1,15,"train"
768,0,1,0,0,1,3,4,1,8,136,50,50,11,69,147,5,5,24,4,7.98,1,10,"valid"
769,0,0,1,0,1,5,4,1,0,89,17,28,34,57,132,9,9,16,7,12.72,NA,NA,"test"
770,0,0,0,0,1,4,1,0,8,123,21,38,48,37,60,33,36,17,9,16.44,0,0,"train"
771,0,0,0,1,1,2,4,0,8,137,62,62,5,94,149,16,14,13,7,8.93,1,15,"train"
772,0,1,0,0,1,0,4,1,9,137,20,36,20,76,140,20,15,20,6,12.17,1,18,"train"
773,0,0,0,1,0,4,4,1,9,208,51,61,1,52,154,147,67,24,7,23.97,NA,NA,"test"
774,1,0,0,0,1,0,3,0,9,174,39,55,10,78,123,54,23,20,3,15.21,1,16,"train"
775,0,1,0,0,0,3,3,0,9,172,29,56,21,34,104,104,62,17,4,30.05,NA,NA,"test"
776,0,1,0,0,1,2,5,1,1,182,54,54,8,128,317,8,7,23,3,7.07,NA,NA,"test"
777,0,1,0,0,1,1,4,1,9,181,38,60,2,104,233,4,4,21,6,2.37,1,11,"valid"
778,0,0,0,1,1,0,3,1,5,201,62,69,6,51,74,17,19,14,3,6.34,1,15,"train"
779,0,1,0,0,1,1,4,1,7,221,34,63,4,79,419,29,24,19,6,10.21,1,15,"train"
780,0,1,0,0,0,2,4,0,4,108,28,29,25,49,86,47,38,20,5,16.75,NA,NA,"test"
781,0,0,0,1,0,2,4,0,9,100,25,37,23,47,62,6,6,21,13,6.64,0,0,"valid"
782,0,1,0,0,1,4,3,0,8,236,33,71,13,74,137,33,34,14,6,11.6,0,0,"train"
783,1,0,0,0,1,0,6,0,8,115,40,40,13,103,184,9,11,16,6,7.94,1,13,"train"
784,1,0,0,0,1,3,4,0,9,253,63,63,3,56,92,24,13,36,6,11.8,0,0,"train"
785,1,0,0,0,1,3,7,0,9,177,31,38,11,24,53,16,13,18,6,11.67,0,0,"valid"
786,0,0,0,1,1,0,6,1,8,156,25,37,9,89,125,7,5,20,7,5.7,1,17,"valid"
787,0,0,0,1,1,1,1,1,8,148,48,48,21,71,84,9,11,37,9,6.67,0,0,"train"
788,0,0,0,0,1,0,3,1,8,140,42,44,8,98,158,10,12,13,9,6.42,1,14,"train"
789,0,1,0,0,1,0,2,0,3,328,79,80,0,95,172,8,4,20,4,6.01,1,11,"train"
790,0,1,0,0,1,0,2,0,9,84,23,26,29,62,116,50,27,23,6,15.28,NA,NA,"test"
791,0,0,0,0,1,2,4,0,1,192,42,52,13,15,29,10,5,23,6,4.93,NA,NA,"test"
792,0,0,1,0,1,3,4,0,3,129,30,48,13,40,78,42,35,20,7,22.01,0,0,"train"
793,0,1,0,0,0,1,1,1,8,210,55,55,5,19,44,25,21,23,4,10.86,NA,NA,"test"
794,1,0,0,0,1,1,4,1,7,102,17,21,47,74,97,26,22,24,6,10.87,NA,NA,"test"
795,0,0,0,1,1,2,5,1,4,161,31,44,22,70,92,12,7,13,10,8.13,0,0,"train"
796,1,0,0,0,1,2,4,0,6,111,19,32,25,60,142,29,25,20,4,9.93,1,16,"train"
797,0,1,0,0,1,2,4,1,9,178,66,68,0,2,65,65,36,15,6,19.56,1,17,"train"
798,0,0,1,0,1,0,4,1,8,190,37,49,10,97,147,24,11,14,6,15.06,1,16,"train"
799,0,0,0,1,1,1,4,0,9,183,55,55,9,37,113,10,9,16,3,11.31,1,16,"train"
800,1,0,0,0,0,0,4,1,8,272,100,100,0,88,149,11,7,21,8,8,1,15,"train"
801,0,0,0,0,1,2,7,1,8,255,74,76,1,91,195,195,23,16,7,28.64,0,0,"valid"
802,1,0,0,0,1,3,4,1,1,234,31,67,7,79,130,22,15,13,6,14.55,0,0,"train"
803,0,1,0,0,0,0,4,1,8,136,16,45,37,46,62,10,8,20,22,9.76,0,0,"train"
804,0,1,0,0,1,2,5,0,9,174,27,59,17,77,153,31,28,16,4,18.14,1,15,"valid"
805,1,0,0,0,1,2,3,1,5,189,58,78,4,66,117,5,6,23,7,4.29,NA,NA,"test"
806,0,0,1,0,1,0,3,0,6,270,63,90,0,30,55,4,3,15,7,2.73,NA,NA,"test"
807,1,0,0,0,1,0,7,1,8,143,21,40,34,101,202,48,21,16,9,21.37,1,16,"train"
808,1,0,0,0,1,2,3,1,4,132,22,34,29,48,59,11,9,16,16,10.34,0,0,"train"
809,0,0,0,1,1,3,7,1,9,196,40,75,5,69,86,10,10,26,7,4.96,0,0,"valid"
810,1,0,0,0,1,2,4,0,9,173,100,100,0,50,72,11,8,18,4,6.66,1,13,"train"
811,0,0,0,0,1,1,6,1,9,249,42,67,4,69,86,14,12,23,5,9.95,NA,NA,"test"
812,0,0,0,1,1,4,7,1,8,141,31,42,5,14,47,27,19,22,10,11.95,0,0,"valid"
813,1,0,0,0,0,1,4,1,6,132,35,35,14,33,65,4,4,21,4,2.88,0,0,"valid"
814,0,0,0,0,1,2,3,1,9,244,35,63,6,102,180,26,14,26,14,10.14,NA,NA,"test"
815,0,1,0,0,1,2,4,0,8,271,76,76,5,107,332,32,33,17,9,10.32,1,17,"train"
816,0,1,0,0,1,2,4,1,8,132,23,33,29,49,92,19,8,12,9,15.81,1,13,"train"
817,0,0,0,0,1,2,4,1,0,129,16,36,32,76,139,15,19,20,8,6.03,NA,NA,"test"
818,0,0,0,1,0,3,1,0,8,509,95,157,0,56,82,52,19,14,5,25.24,NA,NA,"test"
819,0,0,1,0,1,3,6,0,8,127,23,38,10,51,83,83,23,16,5,17.3,0,0,"train"
820,0,0,0,0,0,2,1,1,6,142,34,46,18,54,82,29,20,22,5,16.5,0,0,"valid"
821,0,0,1,0,1,1,4,1,9,262,56,72,1,97,208,46,50,23,12,26.36,1,18,"valid"
822,0,0,1,0,0,3,6,1,3,264,57,77,5,115,229,112,25,19,7,25.22,0,0,"train"
823,1,0,0,0,1,2,4,0,9,128,38,44,23,86,172,9,8,21,5,5.77,1,13,"train"
824,0,1,0,0,1,2,3,1,9,199,57,61,4,98,186,30,17,20,6,21.21,1,19,"train"
825,0,0,0,1,1,2,7,1,3,457,63,107,0,6,40,12,16,20,17,12.06,0,0,"train"
826,0,1,0,0,1,2,4,1,4,335,85,98,0,44,77,28,28,13,7,26.66,1,15,"train"
827,0,0,0,1,1,2,4,1,7,115,35,48,14,103,291,14,16,13,5,14.71,1,16,"train"
828,0,1,0,0,1,4,5,1,8,215,29,57,11,72,144,27,16,18,6,23.82,1,13,"train"
829,0,1,0,0,1,3,4,0,8,239,33,54,1,42,56,30,10,24,6,22.45,1,13,"train"
830,1,0,0,0,0,3,6,1,3,254,49,65,1,85,100,10,9,20,3,5.5,NA,NA,"test"
831,0,0,0,1,0,3,4,0,6,295,42,70,3,81,142,28,21,12,3,10.91,NA,NA,"test"
832,0,0,0,1,1,2,5,0,9,154,45,49,16,85,123,34,52,18,16,18.29,0,0,"valid"
833,0,0,0,0,0,4,7,1,9,154,50,55,4,97,165,10,5,17,15,10.55,0,0,"valid"
834,0,1,0,0,1,0,4,1,2,314,81,81,1,113,113,14,9,21,4,8.85,1,15,"valid"
835,0,0,1,0,1,0,4,1,7,198,32,50,11,70,90,16,10,38,3,19.34,1,16,"valid"
836,1,0,0,0,1,1,5,0,8,124,21,27,34,75,144,9,11,18,3,6.75,1,14,"valid"
837,0,0,0,1,1,0,4,1,8,145,27,39,19,95,153,14,7,27,5,7.51,1,17,"train"
838,0,0,1,0,1,0,2,0,9,153,28,43,14,99,299,39,38,19,4,11.48,NA,NA,"test"
839,0,0,0,0,1,4,6,0,9,253,44,52,4,13,41,25,24,10,16,15.16,NA,NA,"test"
840,0,1,0,0,1,3,4,1,8,160,45,51,7,86,108,22,21,13,6,13.74,1,14,"train"
841,0,0,0,0,1,2,1,1,3,81,33,33,27,44,55,10,3,24,11,4.41,0,0,"valid"
842,0,0,1,0,0,3,4,1,8,106,44,44,13,49,100,13,11,16,8,8.56,NA,NA,"test"
843,0,0,1,0,1,3,2,1,9,109,25,28,37,43,87,21,34,26,7,19.03,0,0,"train"
844,1,0,0,0,1,5,5,0,8,132,37,38,6,51,103,9,7,12,7,5.26,0,0,"train"
845,0,1,0,0,1,2,4,1,9,156,26,37,16,16,62,5,3,17,5,7.99,1,11,"train"
846,0,0,0,0,1,2,7,1,9,154,42,46,12,27,45,6,3,12,3,4.57,NA,NA,"test"
847,0,0,1,0,1,0,5,1,6,59,17,19,45,56,87,17,9,23,6,10.04,1,16,"train"
848,0,0,0,0,1,2,4,1,8,132,39,44,10,94,158,15,16,19,5,11.13,0,0,"valid"
849,0,0,1,0,1,0,3,1,0,198,45,53,5,42,61,5,7,19,16,3.78,NA,NA,"test"
850,0,1,0,0,1,4,4,0,8,129,37,37,21,79,388,7,5,20,4,5.91,1,11,"valid"
851,0,0,1,0,1,1,4,1,9,247,43,60,14,38,78,19,20,16,13,15.13,NA,NA,"test"
852,0,1,0,0,1,2,3,1,4,182,39,48,15,72,140,8,5,17,11,8.67,0,0,"valid"
853,0,0,1,0,1,2,4,1,8,176,39,62,5,99,175,10,7,13,12,6.39,0,0,"valid"
854,0,0,1,0,1,2,5,1,8,519,117,141,0,9,43,11,5,17,4,5.59,0,0,"train"
855,0,1,0,0,1,2,2,1,8,221,34,55,14,51,67,26,15,28,8,12.29,NA,NA,"test"
856,0,0,0,1,1,4,4,1,9,134,43,43,13,65,99,16,17,23,6,5.71,NA,NA,"test"
857,0,0,0,0,1,0,3,0,6,172,33,40,15,40,78,29,13,22,4,13.68,1,15,"train"
858,0,0,0,1,0,2,5,1,2,97,17,40,16,30,59,23,19,22,13,16.7,0,0,"train"
859,0,0,0,0,1,3,4,1,8,233,109,109,1,58,102,8,7,17,5,7.81,1,13,"train"
860,0,0,0,0,1,2,2,0,9,168,23,39,10,64,120,52,16,13,6,14.92,NA,NA,"test"
861,0,0,0,1,1,0,3,0,5,282,41,93,11,105,172,19,19,14,9,9.82,1,17,"train"
862,0,1,0,0,1,0,6,0,8,196,34,60,8,97,203,22,39,22,7,12.77,1,16,"train"
863,1,0,0,0,1,0,3,1,8,155,65,65,3,26,57,4,2,25,10,4.1,0,0,"valid"
864,0,0,1,0,0,4,4,1,0,180,37,51,22,19,52,15,15,15,3,14.56,NA,NA,"test"
865,0,0,0,0,1,2,4,0,8,164,29,41,20,62,102,12,10,15,3,5.75,0,0,"valid"
866,0,0,1,0,1,1,4,1,9,233,115,115,2,109,230,16,7,13,3,12.65,1,15,"valid"
867,0,0,0,0,1,0,2,1,5,167,31,55,18,94,121,50,23,21,11,26.75,NA,NA,"test"
868,0,1,0,0,1,4,4,1,8,330,61,100,1,40,87,38,29,22,6,13.52,1,14,"train"
869,0,1,0,0,1,1,5,0,8,158,30,47,16,88,121,56,46,16,10,30.27,1,16,"train"
870,0,0,1,0,1,2,3,0,9,300,56,56,3,35,91,91,31,18,17,20.13,0,0,"train"
871,0,0,0,1,1,3,5,1,8,134,18,53,39,46,92,7,5,13,5,7.24,0,0,"train"
872,0,1,0,0,1,3,5,0,7,153,31,54,11,77,103,24,15,13,4,9.83,1,13,"train"
873,0,0,0,1,1,2,5,0,8,158,22,48,20,41,104,104,24,14,11,18.63,NA,NA,"test"
874,0,1,0,0,0,3,7,0,9,199,52,59,3,104,126,36,25,17,12,15.89,0,0,"valid"
875,1,0,0,0,1,4,2,1,9,281,47,72,9,30,64,22,17,15,10,12.97,0,0,"train"
876,0,1,0,0,1,4,4,0,9,129,25,42,24,18,26,5,5,17,7,5.56,0,0,"train"
877,0,1,0,0,1,3,4,0,4,199,37,49,20,38,55,8,11,17,5,6.82,NA,NA,"test"
878,0,1,0,0,1,0,1,0,9,152,37,49,22,38,49,20,8,18,9,15.03,1,14,"valid"
879,0,0,1,0,1,3,4,0,6,151,35,49,7,102,295,18,12,13,9,13.51,0,0,"valid"
880,0,0,1,0,0,2,7,1,8,168,50,52,10,51,86,5,4,16,9,5.72,0,0,"train"
881,0,0,1,0,1,2,6,0,9,330,73,76,1,95,146,5,6,23,12,7.12,0,0,"train"
882,0,0,1,0,1,4,4,1,8,160,55,55,6,23,61,26,25,12,6,15.48,NA,NA,"test"
883,0,0,0,0,1,3,7,1,8,188,29,50,14,71,123,7,6,16,6,4.72,0,0,"train"
884,0,1,0,0,0,3,5,1,8,128,49,49,4,62,86,9,3,13,4,8.13,0,0,"train"
885,0,1,0,0,1,0,1,0,9,90,22,30,20,14,41,8,7,23,4,7.25,1,10,"valid"
886,0,0,0,0,1,4,4,1,2,165,38,59,16,65,76,19,10,17,7,20.64,0,0,"valid"
887,0,1,0,0,1,3,5,1,9,128,35,47,17,93,327,15,17,21,7,9.19,1,13,"valid"
888,1,0,0,0,1,2,4,1,6,184,65,65,10,36,135,135,43,22,7,24.37,1,17,"valid"
889,0,0,0,0,1,0,7,0,8,140,27,39,12,41,72,11,7,31,15,6.41,0,0,"train"
890,0,0,0,1,1,1,4,1,6,219,95,95,4,67,187,187,57,13,5,35.3,1,21,"valid"
891,0,0,0,1,1,2,2,1,5,93,24,25,32,91,150,20,15,18,6,14.37,0,0,"train"
892,0,1,0,0,1,4,6,1,8,109,27,27,17,56,91,9,6,7,5,3.84,0,0,"train"
893,0,0,0,1,1,0,4,1,8,188,50,50,8,24,50,8,2,23,11,10.34,1,14,"train"
894,0,1,0,0,0,5,1,1,9,218,34,68,9,43,80,16,13,19,12,3.35,0,0,"valid"
895,0,0,0,1,1,2,4,1,9,94,17,29,35,34,61,15,12,18,4,15.21,NA,NA,"test"
896,0,0,1,0,1,3,4,0,6,139,44,45,3,35,57,15,13,23,11,9.22,0,0,"valid"
897,0,0,0,1,1,2,4,1,6,138,14,40,34,45,76,76,35,13,4,22.36,NA,NA,"test"
898,0,0,1,0,1,3,1,1,8,139,26,38,14,93,238,21,18,24,13,13.46,NA,NA,"test"
899,0,0,0,1,1,0,4,1,8,134,11,34,60,98,149,23,14,22,5,12.27,1,18,"train"
900,0,0,0,0,1,3,4,0,0,157,28,45,9,79,109,15,14,15,7,10.11,0,0,"train"
901,1,0,0,0,1,2,4,1,8,257,79,86,0,65,72,7,9,22,11,7.64,NA,NA,"test"
902,0,1,0,0,1,0,2,0,9,126,46,46,10,55,120,11,8,11,13,10.17,1,14,"train"
903,0,1,0,0,1,2,2,1,8,137,34,46,28,87,274,14,8,24,5,11.52,1,14,"train"
904,0,0,0,0,1,1,4,1,8,238,66,66,1,36,59,14,13,14,5,17.1,0,0,"valid"
905,0,0,0,0,1,2,5,0,9,166,25,39,26,27,58,5,6,19,4,6.77,NA,NA,"test"
906,1,0,0,0,1,0,4,1,8,304,33,54,3,108,136,7,5,17,9,6.23,1,12,"train"
907,1,0,0,0,1,2,5,1,8,146,49,57,15,82,157,16,12,17,10,7.09,NA,NA,"test"
908,0,0,0,0,1,0,4,1,8,157,38,38,18,93,190,29,14,16,5,11.69,NA,NA,"test"
909,0,0,1,0,1,2,2,0,9,132,22,33,36,59,100,45,20,13,4,26.46,0,0,"valid"
910,0,1,0,0,1,3,4,0,8,147,27,52,17,66,77,6,7,22,7,4.78,1,10,"valid"
911,0,0,0,0,1,5,4,1,3,210,65,69,6,93,177,9,5,20,8,10.41,0,0,"train"
912,1,0,0,0,0,1,4,0,8,145,48,62,1,25,55,7,9,20,6,6.65,NA,NA,"test"
913,0,1,0,0,1,2,4,0,8,142,46,46,17,75,79,10,5,19,5,11.49,1,13,"valid"
914,1,0,0,0,0,4,3,0,5,129,35,49,19,57,95,14,15,38,6,14.39,NA,NA,"test"
915,0,0,0,0,1,3,7,0,9,141,24,32,40,78,116,15,11,21,7,8.06,0,0,"train"
916,1,0,0,0,1,3,2,0,9,194,31,51,15,79,146,40,22,13,5,19.09,0,0,"train"
917,1,0,0,0,0,2,3,0,7,227,56,58,3,83,156,32,28,20,2,12.34,0,0,"valid"
918,1,0,0,0,1,1,4,1,8,117,47,47,9,36,55,43,51,10,6,19.45,0,0,"train"
919,0,0,0,0,1,2,2,1,7,229,56,64,1,80,94,18,17,23,6,9.77,0,0,"valid"
920,0,1,0,0,1,3,5,1,9,158,39,92,13,46,63,14,19,13,3,14.43,NA,NA,"test"
921,1,0,0,0,1,2,2,0,4,108,44,44,14,77,126,20,18,14,6,9.23,NA,NA,"test"
922,0,0,1,0,1,0,4,0,8,168,21,43,38,51,106,8,6,23,4,5.98,1,14,"train"
